GeneName	GeneID	WT_R	WT_L	MDX_R	MDX_L
Gmpr	ENSMUSG00000000253	2.675	6.925	6.37	7.589
Mid2	ENSMUSG00000000266	5.77	13.085	4.156	4.116
Trim25	ENSMUSG00000000275	11.89	16.915	21.848	32.118
Dgke	ENSMUSG00000000276	3.705	2.495	2.461	2.534
Scpep1	ENSMUSG00000000278	54.215	64.99	64.279	68.711
Itgb2	ENSMUSG00000000290	0.435	2.625	11.835	19.943
Hddc2	ENSMUSG00000000295	15.22	14.15	31.645	41.152
Tpd52l1	ENSMUSG00000000296	1.405	8.24	4.549	5.661
Pemt	ENSMUSG00000000301	1.595	3.145	5.112	5.658
Cdh1	ENSMUSG00000000303	6.41	3.64	1.006	0.456
Cdh4	ENSMUSG00000000305	2.405	2.23	0.243	0.25
Ckmt1	ENSMUSG00000000308	0.0	0.065	0.396	0.396
Bcl6b	ENSMUSG00000000317	9.765	8.735	16.773	12.218
Clec10a	ENSMUSG00000000318	0.755	1.55	3.706	7.243
Alox12	ENSMUSG00000000320	1.76	1.015	1.036	1.622
Arvcf	ENSMUSG00000000325	4.62	5.365	2.984	2.564
Comt	ENSMUSG00000000326	46.095	76.43	80.826	80.22
Rtca	ENSMUSG00000000339	20.13	25.455	36.121	43.653
Dbt	ENSMUSG00000000340	9.44	4.75	5.854	6.484
Dazap2	ENSMUSG00000000346	224.0	271.755	222.634	236.793
Mcts1	ENSMUSG00000000355	98.04	114.92	152.401	118.898
Rem1	ENSMUSG00000000359	5.385	4.95	10.836	9.72
Trappc10	ENSMUSG00000000374	2.99	2.56	2.757	3.33
Ccm2	ENSMUSG00000000378	15.545	30.7	33.909	40.243
Tbrg4	ENSMUSG00000000384	2.175	2.44	4.003	6.18
Tmprss2	ENSMUSG00000000385	0.195	2.655	0.043	0.027
Mx1	ENSMUSG00000000386	0.0	0.0	0.516	2.228
Fap	ENSMUSG00000000392	8.24	11.59	40.989	28.145
Gcg	ENSMUSG00000000394	0.0	3.13	0.133	0.216
Ndufa9	ENSMUSG00000000399	96.04	102.29	167.506	201.199
Egfl6	ENSMUSG00000000402	7.185	3.09	5.571	2.647
Lck	ENSMUSG00000000409	0.655	1.575	0.596	1.159
Cttnbp2	ENSMUSG00000000416	3.81	6.095	1.975	1.182
Galnt1	ENSMUSG00000000420	52.0	56.53	54.222	58.498
Myf5	ENSMUSG00000000435	6.93	8.275	24.429	20.27
Mkrn2	ENSMUSG00000000439	6.765	8.365	7.559	8.168
Pparg	ENSMUSG00000000440	13.12	15.25	14.039	10.543
Raf1	ENSMUSG00000000441	35.03	32.36	41.412	47.149
Sept1	ENSMUSG00000000486	2.16	2.795	1.901	1.888
Pdgfb	ENSMUSG00000000489	2.725	2.49	6.294	6.36
Acvrl1	ENSMUSG00000000530	14.21	16.19	19.863	18.358
Grasp	ENSMUSG00000000531	7.395	10.67	9.987	10.033
Tom1l2	ENSMUSG00000000538	26.49	30.555	16.88	19.321
Zfp385a	ENSMUSG00000000552	0.665	1.015	0.899	1.112
Itga5	ENSMUSG00000000555	9.925	23.155	22.554	30.286
Wdr77	ENSMUSG00000000561	29.94	26.615	34.669	45.518
Atp5f1	ENSMUSG00000000563	236.96	297.245	431.471	462.301
Sox9	ENSMUSG00000000567	4.31	7.725	18.282	23.423
Hnrnpd	ENSMUSG00000000568	199.14	177.945	206.979	264.585
Dynlt1c	ENSMUSG00000000579	6.045	9.6	7.522	9.654
C1d	ENSMUSG00000000581	39.98	34.5	37.273	40.113
Gm2a	ENSMUSG00000000594	16.75	16.94	17.566	20.033
Krit1	ENSMUSG00000000600	34.495	27.845	30.303	24.033
Clcn4	ENSMUSG00000000605	24.705	35.52	27.516	26.926
Sema4f	ENSMUSG00000000627	1.495	17.055	0.829	5.181
Hk2	ENSMUSG00000000628	14.17	23.735	18.701	29.098
Myo18a	ENSMUSG00000000631	12.415	14.225	6.9	9.57
Sez6	ENSMUSG00000000632	0.92	0.71	0.483	0.516
Cd52	ENSMUSG00000000682	17.185	23.08	45.724	98.009
Loxl3	ENSMUSG00000000693	9.185	14.8	15.321	13.919
Kat2b	ENSMUSG00000000708	12.455	15.21	10.253	7.529
Rab5b	ENSMUSG00000000711	15.295	16.06	10.43	13.836
Icosl	ENSMUSG00000000732	1.44	2.61	1.192	1.279
Spg7	ENSMUSG00000000738	12.035	16.065	21.645	27.965
Sult5a1	ENSMUSG00000000739	3.14	2.4	4.769	2.145
Rpl13	ENSMUSG00000000740	711.34	860.97	875.833	950.855
Chmp1a	ENSMUSG00000000743	19.86	45.295	46.394	56.517
Rpa1	ENSMUSG00000000751	25.045	29.135	42.781	58.089
Serpinf1	ENSMUSG00000000753	432.695	415.7	876.626	525.867
Tubgcp3	ENSMUSG00000000759	9.9	11.42	12.544	14.192
Polr3d	ENSMUSG00000000776	8.635	9.515	10.876	13.367
Tcf7	ENSMUSG00000000782	1.955	2.645	6.953	9.061
Ddx3x	ENSMUSG00000000787	323.57	249.46	140.443	118.545
Slc5a5	ENSMUSG00000000792	0.125	2.07	0.27	0.223
Kcnn3	ENSMUSG00000000794	1.645	0.695	1.978	1.482
Usp32	ENSMUSG00000000804	4.64	4.68	2.388	2.258
Car4	ENSMUSG00000000805	16.585	19.13	29.257	16.117
Txnrd3	ENSMUSG00000000811	9.685	8.995	5.944	8.921
Zfp512b	ENSMUSG00000000823	3.235	2.13	2.025	2.794
Dnajc5	ENSMUSG00000000826	23.55	26.75	26.966	35.994
Tpd52l2	ENSMUSG00000000827	45.14	56.57	64.998	68.408
Fmr1	ENSMUSG00000000838	47.74	48.5	41.738	35.874
Pxmp4	ENSMUSG00000000876	6.03	8.47	10.739	10.176
Dlg3	ENSMUSG00000000881	6.215	3.11	3.273	3.643
Gnb1l	ENSMUSG00000000884	1.41	2.81	3.35	3.207
Dbh	ENSMUSG00000000889	9.575	0.565	0.639	0.649
Mmp11	ENSMUSG00000000901	2.73	6.065	6.713	7.03
Smarcb1	ENSMUSG00000000902	20.785	38.53	52.298	61.728
Vpreb3	ENSMUSG00000000903	0.99	0.855	0.0	0.0
Hip1r	ENSMUSG00000000915	2.875	2.765	2.271	2.431
Nsun5	ENSMUSG00000000916	4.18	6.385	11.918	13.786
Top1mt	ENSMUSG00000000934	2.735	2.41	5.345	5.774
Hoxa10	ENSMUSG00000000938	4.97	4.995	6.787	5.102
Mmp14	ENSMUSG00000000957	40.165	68.41	94.952	97.079
Slc7a7	ENSMUSG00000000958	6.15	7.365	6.447	7.882
Oxa1l	ENSMUSG00000000959	5.07	10.67	10.889	14.329
Heatr6	ENSMUSG00000000976	4.52	4.135	4.752	4.579
Ccl3	ENSMUSG00000000982	1.27	8.535	8.248	17.116
Wfdc18	ENSMUSG00000000983	3.895	15.05	0.456	1.472
Icam4	ENSMUSG00000001014	0.045	0.78	0.143	0.02
Ilf2	ENSMUSG00000001016	60.38	61.135	57.11	73.02
Chtop	ENSMUSG00000001017	65.72	60.64	57.303	56.996
Snapin	ENSMUSG00000001018	71.23	77.975	61.861	55.491
S100a4	ENSMUSG00000001020	132.07	232.96	733.413	775.031
S100a3	ENSMUSG00000001021	0.77	1.07	0.879	1.042
S100a5	ENSMUSG00000001023	4.135	0.165	5.022	1.798
S100a6	ENSMUSG00000001025	890.29	1292.355	1881.723	1940.185
Scn4a	ENSMUSG00000001027	0.025	0.135	0.04	0.14
Icam2	ENSMUSG00000001029	28.85	31.845	52.524	33.983
Mapk7	ENSMUSG00000001034	3.96	6.865	10.253	9.091
Epn2	ENSMUSG00000001036	19.97	13.81	10.866	9.973
B9d1	ENSMUSG00000001039	9.25	12.53	18.681	15.758
Sec24b	ENSMUSG00000001052	16.28	17.44	12.98	13.487
N4bp3	ENSMUSG00000001053	5.785	7.085	16.167	13.776
Rmnd5b	ENSMUSG00000001054	9.72	16.28	23.427	22.664
Nhp2	ENSMUSG00000001056	40.64	53.98	88.049	119.877
Vps9d1	ENSMUSG00000001062	4.185	5.54	4.835	5.461
Zfp276	ENSMUSG00000001065	5.14	7.31	5.561	6.573
Mfsd10	ENSMUSG00000001082	14.69	20.66	28.268	28.864
Luzp1	ENSMUSG00000001089	45.35	62.01	43.253	40.703
Kctd10	ENSMUSG00000001098	76.58	98.47	95.125	104.236
Poldip2	ENSMUSG00000001100	21.36	26.905	44.129	57.779
Ift20	ENSMUSG00000001105	42.645	46.16	52.96	43.38
Col6a1	ENSMUSG00000001119	73.525	101.595	218.132	151.871
Pcbp3	ENSMUSG00000001120	5.76	8.38	6.853	8.129
Lgals9	ENSMUSG00000001123	41.175	53.13	87.366	87.502
Araf	ENSMUSG00000001127	32.045	42.1	39.157	41.492
Cfp	ENSMUSG00000001128	0.725	4.48	11.795	26.993
Timp1	ENSMUSG00000001131	79.54	175.395	291.432	263.889
Uxt	ENSMUSG00000001134	38.62	41.275	48.621	47.393
Cnnm3	ENSMUSG00000001138	2.985	4.025	3.953	3.883
Lman2l	ENSMUSG00000001143	8.26	8.54	11.322	13.104
Mcm3ap	ENSMUSG00000001150	3.6	4.62	3.27	4.446
Pcnt	ENSMUSG00000001151	1.995	3.265	1.851	2.201
Mxd1	ENSMUSG00000001156	7.685	10.56	8.015	10.137
Gmcl1	ENSMUSG00000001157	9.885	10.615	14.049	13.503
Snrnp27	ENSMUSG00000001158	64.48	60.905	64.279	60.596
Oas1c	ENSMUSG00000001166	0.52	0.645	0.556	0.496
Ocrl	ENSMUSG00000001173	11.455	10.09	7.013	7.985
Calm1	ENSMUSG00000001175	839.04	536.28	609.703	722.717
Agpat3	ENSMUSG00000001211	25.64	54.21	56.853	83.726
Sema6b	ENSMUSG00000001227	1.725	3.04	2.594	4.269
Uhrf1	ENSMUSG00000001228	1.655	4.555	18.305	28.665
Dpp9	ENSMUSG00000001229	5.105	10.185	11.605	14.785
Ramp2	ENSMUSG00000001240	99.915	76.415	146.876	99.204
Lsr	ENSMUSG00000001247	1.19	3.39	1.222	1.552
Gramd1a	ENSMUSG00000001248	22.135	37.77	34.699	40.646
Ckb	ENSMUSG00000001270	249.71	205.825	222.594	211.998
Sp1	ENSMUSG00000001280	9.425	6.26	4.915	5.278
Itgb7	ENSMUSG00000001281	1.495	1.82	1.652	1.822
Myg1	ENSMUSG00000001285	11.685	14.495	22.607	29.144
Rarg	ENSMUSG00000001288	8.225	5.975	4.346	4.342
Pfdn5	ENSMUSG00000001289	151.365	149.94	161.135	168.388
Efnb2	ENSMUSG00000001300	6.54	6.885	7.942	7.772
Rrp15	ENSMUSG00000001305	21.91	21.585	28.828	38.302
Rnd2	ENSMUSG00000001313	16.31	14.89	12.408	10.866
Srr	ENSMUSG00000001323	9.825	10.96	6.973	7.762
Sync	ENSMUSG00000001333	2.2	6.15	19.52	23.443
Fndc5	ENSMUSG00000001334	1.0	2.595	6.267	8.348
Acp5	ENSMUSG00000001348	1.36	3.55	8.894	13.353
Cnn1	ENSMUSG00000001349	57.63	36.55	28.452	23.75
Fbxo9	ENSMUSG00000001366	15.905	19.82	19.068	19.024
Vps50	ENSMUSG00000001376	24.625	31.19	30.007	33.02
Hars	ENSMUSG00000001380	27.59	28.84	40.223	52.111
Zmat2	ENSMUSG00000001383	29.755	23.565	28.408	33.297
Ube2c	ENSMUSG00000001403	5.34	21.405	64.602	91.382
Smg5	ENSMUSG00000001415	8.51	5.755	8.678	9.457
Cct3	ENSMUSG00000001416	166.53	191.09	303.157	415.371
Glmp	ENSMUSG00000001418	39.195	62.29	60.489	70.509
Mef2d	ENSMUSG00000001419	12.27	14.145	14.572	21.475
Snd1	ENSMUSG00000001424	22.635	27.445	36.523	45.731
Col18a1	ENSMUSG00000001435	28.25	116.91	43.133	76.577
Slc19a1	ENSMUSG00000001436	7.47	4.725	13.506	17.346
Kpnb1	ENSMUSG00000001440	11.505	9.84	10.423	16.996
Npepps	ENSMUSG00000001441	24.865	23.635	19.99	19.58
Mrpl10	ENSMUSG00000001445	12.98	18.0	24.482	29.9
Cyp51	ENSMUSG00000001467	49.68	22.13	25.418	19.957
Tcf25	ENSMUSG00000001472	56.625	78.375	65.744	77.546
Tubb6	ENSMUSG00000001473	174.735	253.965	489.856	655.727
Def8	ENSMUSG00000001482	7.935	12.095	10.922	12.787
Meox1	ENSMUSG00000001493	7.455	6.525	9.654	6.707
Col1a1	ENSMUSG00000001506	150.885	158.04	328.961	261.795
Itga3	ENSMUSG00000001507	2.305	3.205	3.56	4.625
Sgca	ENSMUSG00000001508	13.945	25.475	21.372	23.067
Foxm1	ENSMUSG00000001517	1.755	5.215	6.59	9.347
Itfg2	ENSMUSG00000001518	6.7	6.055	6.27	8.382
Nrip2	ENSMUSG00000001520	40.735	39.76	27.096	23.67
Tulp3	ENSMUSG00000001521	4.24	3.19	2.967	2.837
Gtf2h4	ENSMUSG00000001524	6.585	7.37	13.094	16.97
Tubb5	ENSMUSG00000001525	22.36	61.195	108.914	153.849
Ell2	ENSMUSG00000001542	22.2	15.435	7.879	10.766
Jup	ENSMUSG00000001552	60.055	62.87	54.972	47.912
Fkbp10	ENSMUSG00000001555	23.54	36.315	63.62	60.469
Nom1	ENSMUSG00000001569	6.77	7.22	6.487	9.534
Ergic1	ENSMUSG00000001576	28.64	32.485	43.253	57.086
Tcea3	ENSMUSG00000001604	4.585	10.675	6.7	6.081
Csn3	ENSMUSG00000001622	0.02	43.995	0.08	0.0
Ifrd1	ENSMUSG00000001627	2579.64	1010.79	647.865	614.132
Stk38l	ENSMUSG00000001630	31.155	24.55	18.658	21.605
Brpf1	ENSMUSG00000001632	5.79	8.815	9.151	12.214
Akr1b3	ENSMUSG00000001642	205.06	185.74	318.431	413.166
Hoxc6	ENSMUSG00000001661	1.735	1.29	1.675	1.752
Gstt1	ENSMUSG00000001663	25.4	29.88	21.878	17.786
Gstt3	ENSMUSG00000001665	9.39	6.42	9.234	5.887
Ddt	ENSMUSG00000001666	31.485	44.28	43.973	42.364
Marveld3	ENSMUSG00000001672	1.595	0.455	0.283	0.023
Ddx18	ENSMUSG00000001674	17.56	15.86	22.537	29.367
Ubl3	ENSMUSG00000001687	47.78	50.055	43.433	40.793
Gramd3	ENSMUSG00000001700	8.11	6.98	8.408	7.013
Eef1e1	ENSMUSG00000001707	26.955	34.465	45.731	55.961
Akt1	ENSMUSG00000001729	38.94	69.62	88.265	125.238
Cldn15	ENSMUSG00000001739	1.015	2.595	7.746	4.948
Il16	ENSMUSG00000001741	4.445	2.515	2.458	1.582
Tcirg1	ENSMUSG00000001750	27.29	33.48	48.195	59.231
Naglu	ENSMUSG00000001751	7.8	13.59	14.495	16.46
Coasy	ENSMUSG00000001755	6.97	12.145	10.922	12.264
Smo	ENSMUSG00000001761	11.285	11.275	11.758	15.438
Tspan33	ENSMUSG00000001763	0.36	0.63	1.822	2.964
Crnkl1	ENSMUSG00000001767	9.445	14.84	17.263	18.248
Rin2	ENSMUSG00000001768	15.105	12.48	16.43	12.967
Chordc1	ENSMUSG00000001774	76.06	83.005	110.09	91.229
Rtcb	ENSMUSG00000001783	44.71	55.17	73.543	90.303
Pwp1	ENSMUSG00000001785	20.31	16.315	30.706	42.221
Fbxo7	ENSMUSG00000001786	20.82	27.985	16.464	18.785
Capns1	ENSMUSG00000001794	53.905	80.165	63.753	83.12
Lrp3	ENSMUSG00000001802	3.405	3.885	3.277	3.243
Folr1	ENSMUSG00000001827	1.48	2.095	2.564	2.99
Clpb	ENSMUSG00000001829	12.785	12.995	17.143	19.923
Sept7	ENSMUSG00000001833	352.35	351.13	364.652	295.278
Zdhhc4	ENSMUSG00000001844	22.325	29.015	28.735	30.909
Rac1	ENSMUSG00000001847	411.415	341.845	379.091	434.428
Nup214	ENSMUSG00000001855	41.325	30.345	34.046	38.362
Aif1l	ENSMUSG00000001864	14.595	14.675	59.024	82.051
Cpa3	ENSMUSG00000001865	16.155	11.94	14.842	12.444
Ltbp1	ENSMUSG00000001870	20.0	24.63	41.928	50.546
Ugp2	ENSMUSG00000001891	82.865	158.975	79.427	70.063
Trmt1	ENSMUSG00000001909	12.705	14.26	17.739	22.261
Nacc1	ENSMUSG00000001910	1.685	2.545	3.383	4.409
Nfix	ENSMUSG00000001911	50.335	72.325	100.812	80.549
Slc1a5	ENSMUSG00000001918	36.645	31.7	33.067	36.843
Uba1	ENSMUSG00000001924	42.63	48.295	66.617	88.215
Vwf	ENSMUSG00000001930	15.325	23.755	14.396	13.726
Siae	ENSMUSG00000001942	7.9	5.99	9.048	9.514
Vsig2	ENSMUSG00000001943	0.56	0.86	1.106	1.202
Esam	ENSMUSG00000001946	79.705	100.87	140.563	105.821
Spa17	ENSMUSG00000001948	6.875	8.35	8.085	6.996
Fam50a	ENSMUSG00000001962	24.08	29.295	27.096	30.739
Emd	ENSMUSG00000001964	33.185	20.945	18.884	18.282
Taco1	ENSMUSG00000001983	0.545	1.05	3.18	3.653
Gria3	ENSMUSG00000001986	10.605	4.64	6.36	3.883
Sipa1l2	ENSMUSG00000001995	6.74	5.955	3.743	3.929
Ap4e1	ENSMUSG00000001998	8.0	5.685	7.346	6.82
Blvra	ENSMUSG00000001999	24.545	26.705	34.962	42.031
Srpk3	ENSMUSG00000002007	3.07	5.295	9.171	13.28
Idh3g	ENSMUSG00000002010	87.115	100.86	141.275	167.659
Pnck	ENSMUSG00000002012	1.98	3.68	3.074	2.964
Ssr4	ENSMUSG00000002014	99.58	114.875	137.785	136.453
Bcap31	ENSMUSG00000002015	206.4	204.595	238.924	253.413
Fam98a	ENSMUSG00000002017	14.27	13.475	19.827	23.613
Ltbp2	ENSMUSG00000002020	2.47	1.34	6.597	4.389
Kmt2a	ENSMUSG00000002028	7.36	4.405	3.66	2.634
Ift46	ENSMUSG00000002031	17.05	23.305	24.419	28.039
Tmem25	ENSMUSG00000002032	1.14	0.94	0.626	0.862
Trappc6a	ENSMUSG00000002043	13.625	23.09	20.803	19.374
Supt6	ENSMUSG00000002052	6.145	6.91	5.748	7.319
Spag5	ENSMUSG00000002055	1.445	2.98	6.783	10.569
Unc119	ENSMUSG00000002058	2.84	3.47	8.568	8.735
Rab34	ENSMUSG00000002059	32.76	67.52	62.311	71.528
Sdf2	ENSMUSG00000002064	38.93	45.12	50.043	52.201
Ccne1	ENSMUSG00000002068	1.145	2.575	12.388	19.97
Hsf2bp	ENSMUSG00000002076	2.025	2.735	3.866	4.412
Bbc3	ENSMUSG00000002083	1.965	1.935	5.002	6.807
Psmc3	ENSMUSG00000002102	108.225	133.925	202.094	239.104
Acp2	ENSMUSG00000002103	9.16	13.815	15.155	15.628
Rapsn	ENSMUSG00000002104	18.095	21.86	47.522	56.064
Slc39a13	ENSMUSG00000002105	13.795	19.02	32.717	28.225
Celf2	ENSMUSG00000002107	45.08	46.795	49.151	61.512
Nr1h3	ENSMUSG00000002108	5.21	7.185	6.613	6.66
Ddb2	ENSMUSG00000002109	6.91	5.995	5.524	6.517
Spi1	ENSMUSG00000002111	0.515	2.025	6.154	14.426
Sf3a1	ENSMUSG00000002129	7.86	8.885	12.504	16.906
Stat6	ENSMUSG00000002147	28.995	31.115	34.579	34.276
Napsa	ENSMUSG00000002204	1.065	3.37	2.314	3.58
Vrk3	ENSMUSG00000002205	12.8	11.95	13.03	15.098
Smg9	ENSMUSG00000002210	4.395	7.35	6.284	8.631
Paxip1	ENSMUSG00000002221	5.695	9.305	7.832	10.912
Rmnd5a	ENSMUSG00000002222	30.285	15.955	9.344	10.806
Mov10	ENSMUSG00000002227	1.115	1.065	3.327	4.522
Ppm1j	ENSMUSG00000002228	0.825	2.06	1.618	1.792
Rhoc	ENSMUSG00000002233	71.45	131.945	85.091	93.01
Tead3	ENSMUSG00000002249	1.565	1.305	0.942	1.202
Def6	ENSMUSG00000002257	0.615	1.695	2.937	2.664
Peg3	ENSMUSG00000002265	34.55	27.635	34.239	32.92
Zim1	ENSMUSG00000002266	2.715	1.615	1.951	1.575
Metrn	ENSMUSG00000002274	13.87	44.155	11.968	21.036
Lmf1	ENSMUSG00000002279	10.075	11.25	13.496	15.548
Narfl	ENSMUSG00000002280	5.04	7.79	9.917	10.057
Angptl4	ENSMUSG00000002289	18.36	54.56	94.865	121.349
Dbf4	ENSMUSG00000002297	3.795	7.535	11.202	15.122
Daxx	ENSMUSG00000002307	8.605	12.07	14.172	17.296
Cd320	ENSMUSG00000002308	8.95	10.045	19.62	21.096
Ipo4	ENSMUSG00000002319	19.275	18.775	30.44	40.186
Tm9sf1	ENSMUSG00000002320	36.465	40.085	45.987	50.946
Irf9	ENSMUSG00000002325	27.68	26.515	17.945	18.212
Gmpr2	ENSMUSG00000002326	22.29	23.23	26.334	30.832
Mdp1	ENSMUSG00000002329	11.6	15.98	16.933	15.788
Dhrs1	ENSMUSG00000002332	25.66	69.785	40.942	51.445
Tmem161a	ENSMUSG00000002342	15.37	20.02	21.788	28.671
Armc6	ENSMUSG00000002343	2.14	4.065	7.529	8.585
Borcs8	ENSMUSG00000002345	10.845	21.635	18.192	19.281
Slc25a42	ENSMUSG00000002346	0.81	1.405	0.583	0.806
Snx9	ENSMUSG00000002365	19.87	22.21	28.485	29.863
Ranbp3	ENSMUSG00000002372	10.94	16.885	22.378	27.083
Ndufa11	ENSMUSG00000002379	15.015	23.395	26.806	30.936
Nr2f6	ENSMUSG00000002393	7.36	12.11	16.064	19.004
Use1	ENSMUSG00000002395	37.9	72.49	45.558	53.06
Ocel1	ENSMUSG00000002396	3.115	5.46	3.723	3.713
Dyrk1b	ENSMUSG00000002409	1.715	4.345	2.041	3.287
Braf	ENSMUSG00000002413	11.05	9.79	5.348	5.365
Ndufb2	ENSMUSG00000002416	209.475	196.82	244.122	255.371
Hltf	ENSMUSG00000002428	15.66	16.365	13.14	9.907
Prpf6	ENSMUSG00000002455	23.315	26.785	29.587	34.955
Rgs19	ENSMUSG00000002458	12.4	11.25	26.613	30.619
Rgs20	ENSMUSG00000002459	0.0	0.12	1.032	0.952
Abhd3	ENSMUSG00000002475	2.035	2.775	1.562	1.392
Snrpd1	ENSMUSG00000002477	135.41	118.58	188.561	200.493
Tchp	ENSMUSG00000002486	1.95	1.63	1.525	1.991
Tiam1	ENSMUSG00000002489	0.865	0.36	0.34	0.626
Tsc2	ENSMUSG00000002496	8.555	10.455	8.735	11.505
Rpl3l	ENSMUSG00000002500	0.675	5.095	1.165	1.495
Slc9a3r2	ENSMUSG00000002504	47.45	58.36	74.495	48.658
Puf60	ENSMUSG00000002524	66.815	95.99	112.194	121.868
Golga2	ENSMUSG00000002546	5.56	8.145	9.347	11.026
Uck1	ENSMUSG00000002550	13.52	18.84	21.359	19.867
Scin	ENSMUSG00000002565	0.495	0.395	0.13	0.13
Ikzf4	ENSMUSG00000002578	2.875	4.495	1.908	2.89
Mien1	ENSMUSG00000002580	44.19	75.905	67.532	67.336
Pon1	ENSMUSG00000002588	0.0	0.0	0.902	0.463
Axl	ENSMUSG00000002602	54.715	116.12	104.209	145.997
Tgfb1	ENSMUSG00000002603	4.71	10.435	7.842	12.584
Ccdc97	ENSMUSG00000002608	7.0	11.14	8.914	12.098
Zfp40	ENSMUSG00000002617	4.04	8.565	6.234	3.883
Akap8l	ENSMUSG00000002625	21.445	22.615	22.025	22.641
Shh	ENSMUSG00000002633	0.035	1.7	0.01	0.629
Pdcd2l	ENSMUSG00000002635	9.075	15.765	18.894	21.871
Gtf2f1	ENSMUSG00000002658	18.81	32.58	31.928	40.463
Clpp	ENSMUSG00000002660	16.16	23.705	40.759	46.8
Alkbh7	ENSMUSG00000002661	10.47	11.645	12.364	12.031
Med6	ENSMUSG00000002679	38.19	50.895	65.178	71.798
Prkd1	ENSMUSG00000002688	4.715	5.685	4.176	4.569
Lcp2	ENSMUSG00000002699	2.72	0.735	4.515	7.892
Cse1l	ENSMUSG00000002718	60.48	51.19	76.424	87.755
Naa20	ENSMUSG00000002728	109.99	125.495	173.187	177.859
Prkra	ENSMUSG00000002731	16.69	12.36	17.929	16.22
Fkbp7	ENSMUSG00000002732	215.9	171.92	258.122	151.825
Plekha3	ENSMUSG00000002733	30.325	32.515	20.41	22.308
Ykt6	ENSMUSG00000002741	18.145	26.53	23.553	30.999
Baz1b	ENSMUSG00000002748	13.515	12.34	12.018	11.915
Pex6	ENSMUSG00000002763	6.145	7.455	7.639	7.992
Mrpl2	ENSMUSG00000002767	19.705	30.68	50.32	64.246
Mea1	ENSMUSG00000002768	29.12	61.35	70.27	86.667
Gnmt	ENSMUSG00000002769	0.0	0.515	0.063	0.127
Kdelr1	ENSMUSG00000002778	27.19	33.55	50.266	56.85
Tmem143	ENSMUSG00000002781	0.745	1.05	1.868	2.191
Ggct	ENSMUSG00000002797	15.625	27.475	13.919	11.172
Jag2	ENSMUSG00000002799	2.175	3.13	4.555	5.455
Btbd6	ENSMUSG00000002803	2.405	4.735	4.212	6.217
Nudt14	ENSMUSG00000002804	6.88	14.27	31.342	38.215
Epdr1	ENSMUSG00000002808	33.71	42.47	26.653	25.914
Flii	ENSMUSG00000002812	23.15	34.14	43.56	61.568
Top3a	ENSMUSG00000002814	1.88	2.075	2.641	3.297
Atg4d	ENSMUSG00000002820	6.845	7.62	7.752	8.861
Qtrt1	ENSMUSG00000002825	7.45	10.155	19.307	23.23
Hdgfrp2	ENSMUSG00000002833	13.43	22.725	23.357	28.775
Chaf1a	ENSMUSG00000002835	0.935	2.88	6.35	8.472
Adprh	ENSMUSG00000002844	36.34	57.125	67.619	72.777
Tmem39a	ENSMUSG00000002845	37.06	26.095	40.499	41.295
Timmdc1	ENSMUSG00000002846	0.915	1.985	2.001	2.474
Pla1a	ENSMUSG00000002847	0.685	1.46	4.895	3.843
Mcm2	ENSMUSG00000002870	2.7	4.36	24.026	36.197
Tpra1	ENSMUSG00000002871	11.98	14.135	16.72	16.327
